Fetched: 	Url
Fetched URL:	http://www.ics.uci.edu/~fowlkes/presentations.html
Fetched URL:	http://www.ics.uci.edu/~jmoorkan/vhdlref/conc_s_a.html
Fetched URL:	https://www.ics.uci.edu/computing/account/new
Fetched URL:	http://www.ics.uci.edu/~wjohnson/BIDA/Ch5/DiasorinModel1.txt
Fetched URL:	http://www.ics.uci.edu/~mlearn/datasets/Wine+Quality
Fetched URL:	http://graphmod.ics.uci.edu/uai08/BadContent?action=diff&rev1=20&rev2=21
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/contact?do=login&sectok=1a77c0414ecb9c6da1dd98db93f247f5
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=f829f1f01789702e47ece3d072ff3fab
Fetched URL:	http://duttgroup.ics.uci.edu/doku.php/photos?image=alfonso_avila.jpg&ns=&tab_details=view&do=media
Fetched URL:	https://students.ics.uci.edu/~santanus
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/contact?rev=1382071767&do=diff
Fetched URL:	http://sli.ics.uci.edu/Classes-2008F/Main
Fetched URL:	https://duttgroup.ics.uci.edu/doku.php/publications?tab_details=history&image=andre.png&ns=&do=media
Fetched URL:	http://www.ics.uci.edu/~stasio/winter06/lab2/Input.java
Fetched URL:	https://duttgroup.ics.uci.edu/doku.php/group?image=dutt.png&ns=&tab_details=view&do=media
Fetched URL:	http://duttgroup.ics.uci.edu/doku.php/publications?image=bbq_2016.jpg&ns=&tab_details=view&do=media
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=742f83770b53bd2f8f7554ff675aea2c
Fetched URL:	https://www.ics.uci.edu/about/bren/gallery/gallery_15_jpg.php
Fetched URL:	http://www.ics.uci.edu/~dechter/publications/r39.html
Fetched URL:	https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=aihler
Fetched URL:	http://www.ics.uci.edu/community/events/openhouse/building.html
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/publications?do=diff
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=4aa05195de5d0b4821d454143de69cbe
Fetched URL:	http://www.ics.uci.edu/~smyth/courses/stats5
Fetched URL:	http://motifmap.ics.uci.edu
Fetched URL:	http://archive.ics.uci.edu/ml/datasets/Movie
Fetched URL:	http://sli.ics.uci.edu/Projects/RCTree
Fetched URL:	http://duttgroup.ics.uci.edu/doku.php/projects?do=diff
Fetched URL:	http://www.ics.uci.edu/~dechter/publications/r26.html
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=55a83733cab3f93b0b3c762dcc00b05b
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/start?do=resendpwd
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/start?rev=1403729756&do=diff
Fetched URL:	http://graphmod.ics.uci.edu/group/ToddBicker4
Fetched URL:	http://duttgroup.ics.uci.edu/doku.php/Home
Fetched URL:	http://sli.ics.uci.edu/PmWiki/RecentChanges?action=edit
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/contact?do=login&sectok=06e9bebd11fbcf0fbc7430cc2cdaa74b
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/contact?do=edit&rev=1360894109
Fetched URL:	http://graphmod.ics.uci.edu/group/HelpOnSearching
Fetched URL:	http://www.ics.uci.edu/ugrad/policies/Add_Drop_ChangeOption.php
Fetched URL:	http://www.ics.uci.edu/~dechter/publications/r207.html
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/start?do=revisions
Fetched URL:	http://DataGuard.ics.uci.edu/javadoc/org/itr_rescue/dataGuard/indexing/Index.html
Fetched URL:	https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=lopes
Fetched URL:	http://www.ics.uci.edu/~stasio/fall04/reading.html
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=d4e3cfab62f70dbc7071c44fbff4f006
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=0ac368712e01abb5359512f7c8c933b2
Fetched URL:	http://archive.ics.uci.edu/ml/datasets.html
Fetched URL:	http://www.ics.uci.edu/community/events/openhouse/video_bren.html
Fetched URL:	http://duttgroup.ics.uci.edu/doku.php/projects?do=export_xhtml
Fetched URL:	http://www.ics.uci.edu/~stasio/fall04/outline268.html
Fetched URL:	http://graphmod.ics.uci.edu/uai08/Evaluation/Report?action=info
Fetched URL:	https://www.ics.uci.edu/ugrad/degrees/Second_BA_CSE.php
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=1e16140de1aac068116eaed357fe776f
